Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-03 00:00:00-05:00,237.40392951699792,240.01158153417768,231.85655337253039,233.98565673828125,25740000,0.0,0.0
2023-01-04 00:00:00-05:00,226.85610390975128,227.43232343462765,220.6836879280111,223.7503662109375,50623400,0.0,0.0
2023-01-05 00:00:00-05:00,221.89471081098847,222.23654401593947,216.58173640623133,217.118896484375,39585600,0.0,0.0
2023-01-06 00:00:00-05:00,217.79279312709332,220.4883398206325,214.22802915573828,219.67771911621094,43613600,0.0,0.0
2023-01-09 00:00:00-05:00,221.1622360976978,225.8403946978241,221.12317668189198,221.81658935546875,27369800,0.0,0.0
2023-01-10 00:00:00-05:00,222.4416360207006,225.90874396659487,222.02168398090183,223.50619506835938,27033900,0.0,0.0
2023-01-11 00:00:00-05:00,225.88924810637536,230.44043818793068,225.71345835594468,230.2646484375,28669300,0.0,0.0
2023-01-12 00:00:00-05:00,229.7665026549743,234.2981546866577,228.10620187098192,232.94061279296875,27269500,0.0,0.0
2023-01-13 00:00:00-05:00,231.46587514607086,233.78052912873633,229.43444289235566,233.643798828125,21333300,0.0,0.0
2023-01-17 00:00:00-05:00,232.41322563168038,235.28457684093857,231.5537695139473,234.73765563964844,29831300,0.0,0.0
2023-01-18 00:00:00-05:00,235.9291745717664,236.7202581070154,230.0204434260072,230.3036651611328,30028700,0.0,0.0
2023-01-19 00:00:00-05:00,228.3210895299991,230.02046480616403,225.29347050869634,226.5142822265625,28623000,0.0,0.0
2023-01-20 00:00:00-05:00,229.37586152604075,235.11856433736398,229.03402830061015,234.61070251464844,35389800,0.0,0.0
2023-01-23 00:00:00-05:00,235.47013642558932,239.44509106116212,234.05398311341634,236.9155731201172,31934000,0.0,0.0
2023-01-24 00:00:00-05:00,236.83746410442902,238.2536026618758,234.82556885560982,236.38819885253906,40234400,0.0,0.0
2023-01-25 00:00:00-05:00,229.00471246415324,237.61876602103504,225.50830635326923,234.9915771484375,66526600,0.0,0.0
2023-01-26 00:00:00-05:00,237.96059966957264,242.51178905465864,236.3491342606083,242.2090301513672,33454500,0.0,0.0
2023-01-27 00:00:00-05:00,243.17590081279988,243.99628260178545,241.06633486756434,242.3652801513672,26498900,0.0,0.0
2023-01-30 00:00:00-05:00,238.8005289422948,239.86508806743547,236.54447131176642,237.04257202148438,25867400,0.0,0.0
2023-01-31 00:00:00-05:00,237.76529133415198,242.16021359505123,237.2769666384965,242.0234832763672,26541100,0.0,0.0
2023-02-01 00:00:00-05:00,242.20902977404796,249.22136469253888,239.7381082028261,246.84811401367188,31259900,0.0,0.0
2023-02-02 00:00:00-05:00,252.7764151835844,258.5093426268986,251.2430684097747,258.42144775390625,39940400,0.0,0.0
2023-02-03 00:00:00-05:00,253.4795673448407,258.0307566536459,251.09654067147537,252.31735229492188,29077300,0.0,0.0
2023-02-06 00:00:00-05:00,251.42862970184487,252.26853389877027,248.83073866151105,250.77426147460938,22518000,0.0,0.0
2023-02-07 00:00:00-05:00,254.446472651946,262.4940543494354,254.00696849017606,261.31231689453125,50841400,0.0,0.0
2023-02-08 00:00:00-05:00,266.82063188656974,270.29750141679074,259.99383221379736,260.501708984375,54686000,0.0,0.0
2023-02-09 00:00:00-05:00,267.4066092650487,267.5824288189988,256.6634652436556,257.4643249511719,42375100,0.0,0.0
2023-02-10 00:00:00-05:00,255.42304410361132,257.92326347563693,254.57336413487155,256.9563903808594,25818500,0.0,0.0
2023-02-13 00:00:00-05:00,261.39046487819326,268.1879364908774,260.9118863953709,264.9845275878906,44630900,0.0,0.0
2023-02-14 00:00:00-05:00,266.3030219967699,268.5493038380461,262.99216601321865,265.814697265625,37047900,0.0,0.0
2023-02-15 00:00:00-05:00,262.71093736345534,265.07056133423544,260.6156584468026,263.6900329589844,28922400,0.68,0.0
2023-02-16 00:00:00-05:00,258.50082598261054,261.1639673790336,256.42514795944504,256.669921875,29603600,0.0,0.0
2023-02-17 00:00:00-05:00,253.967573126931,254.65292198719706,250.6484253397839,252.6653594970703,30000100,0.0,0.0
